GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,TYPE_1,CC_1,HASC_1,population
BDI,Burundi,BDI.1_1,Bubanza,,Province,003BDI001,BI.BB,442274
BDI,Burundi,BDI.2_1,Bujumbura Mairie,,Province,003BDI017,BI.BM,937881
BDI,Burundi,BDI.3_1,Bujumbura Rural,Usumbura,Province,003BDI002,BI.BU,812450
BDI,Burundi,BDI.4_1,Bururi,,Province,003BDI003,BI.BR,891447
BDI,Burundi,BDI.5_1,Cankuzo,,Province,003BDI004,BI.CA,354937
BDI,Burundi,BDI.6_1,Cibitoke,,Province,003BDI005,BI.CI,617231
BDI,Burundi,BDI.7_1,Gitega,Kitega,Province,003BDI006,BI.GI,929576
BDI,Burundi,BDI.8_1,Karuzi,Karusi,Province,003BDI007,BI.KR,559275
BDI,Burundi,BDI.9_1,Kayanza,,Province,003BDI008,BI.KY,907288
BDI,Burundi,BDI.10_1,Kirundo,,Province,003BDI009,BI.KI,898814
BDI,Burundi,BDI.11_1,Makamba,,Province,003BDI010,BI.MA,604308
BDI,Burundi,BDI.12_1,Muramvya,Muramviya,Province,003BDI011,BI.MV,374103
BDI,Burundi,BDI.13_1,Muyinga,Muhinga,Province,003BDI012,BI.MY,1111001
BDI,Burundi,BDI.14_1,Mwaro,,Province,003BDI013,BI.MW,362297
BDI,Burundi,BDI.15_1,Ngozi,,Province,003BDI014,BI.NG,875095
BDI,Burundi,BDI.16_1,Rutana,,Province,003BDI015,BI.RT,561730
BDI,Burundi,BDI.17_1,Ruyigi,,Province,003BDI016,BI.RY,635502
